ID,tweet,clean_tweet,target,prob,y_hat
866,"astonished that @user hasn't received accolades he so deserves for his win at @user today, especially from @user  ",astonished hasnt received accolades deserves win today especially,0.0,0.25441727,0
1380,bihday presentð #mac #ripstick #omg #cute #sunset #bihday #present   #love #may 31st #18 ,bihday present 31st,0.0,0.2729069,0
2113,because you're a racist? ,youre racist,1.0,0.7152123,1
5446,I've pretty much eaten an entire box of my nephew's cheese nips. I only feel bad a little.,ive pretty eaten entire box nephews cheese nips feel bad little,0.0,0.27984816,0
4990,A Yankee win makes any day better.,yankee win makes day better,0.0,0.124785095,0
3036,@Sammytbh whats your youtube channel then faggot,whats youtube channel faggot,1.0,0.26465067,0
626,best essential oils for #healing!!    #altwaystoheal #healthy  !! ,best essential oils,0.0,0.32318133,0
3834,"RT @YungPineapple_: ""You like your lunch little boy?""

""Nah bitch look what I'm eating cause of you"" http://t.co/7cvA8grvds",  like lunch little boynah bitch look im eating cause  tco7cva8grvds,1.0,0.550718,1
4490,@GabeJGonzalez @RPopBox and a prime Leija would trash most of these 140 dudes today!,prime leija trash 140 dudes today,0.0,0.36720112,0
4910,@mrfoolycooly i dont think he did the celestial dragon killed him,dont think celestial dragon killed,0.0,0.39213625,0
5219,"GUYS, I just walked into an office, and the secretary has a bird. Looks like I may just find out for myself. http://t.co/T9U4VGWJWv",guys walked office secretary bird looks like find  tcot9u4vgwjwv,0.0,0.19757009,0
4640,@RPopBox @boxing Yeah he definitely wasn't the same guy who fought Lara but he cuts the ring off well which should be a huge boon to Canelo,yeah definitely wasnt guy fought lara cuts ring huge boon canelo,0.0,0.4149614,0
2893,"@user my age, gender or race should not define my capabilities in 2016.   #ageism",age gender race define capabilities 2016,1.0,0.5876465,1
3459,Bad bitches is the only thing that i like,bad bitches thing like,1.0,0.8809562,1
2847, destroyed in one minute #janeelliot   ,destroyed minute,1.0,0.62742925,1
264,#model   i love u take with u all the time in urð±!!! ððððð¦ð¦ð¦  ,love u u time ur,0.0,0.39671323,0
2095,"@user @user @user  is this a new one? either way, #men disgraced themselves.  #harassment  #verbalassault",new way disgraced,1.0,0.29870862,0
4393,@1usagrunt. I wonder what Charlie Brown would have to say about these days.,wonder charlie brown days,0.0,0.27570084,0
2663,"@user #patriarchal, #misogynist,  cult. #christianity ",cult,1.0,0.48531786,1
2749,"""nigger?"" #lifelessons of white kid growing up in the 60's.  #bloggersblast #respect  ",nigger white kid growing 60s,1.0,0.42007974,0
4153,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",smuggler explains helped fighters jihadi highway  tcoux4anxeawd,0.0,0.33546975,0
5392,I think I'll just eat this brownie and pass out,think ill eat brownie pass,0.0,0.4368064,0
5782,RT @BlissTabitha: Homeowner Shoots Armed Suspect Who Attacked and Pistol Whipped Him http://t.co/VLuEwUGclg,  homeowner shoots armed suspect attacked pistol whipped  tcovluewugclg,0.0,0.32956153,0
51,"@user anna open challenge. try to find a 2 kilometer road without potholes or breakers in hyderabad, then u may work on fundu ideas  ",anna open challenge try find 2 kilometer road potholes breakers hyderabad u work fundu ideas,0.0,0.155919,0
5442,I'm the biggest redskins dam right now if they get this stop,im biggest redskins dam right stop,0.0,0.42979163,0
4568,@Lov3Tadaisha &#128514;&#128514;&#128514; a box full of yellow crayons.,box yellow crayons,0.0,0.13260332,0
3902,"RT @karlos_budah: Free the squaddd @1stBlocJeremiah, @RealNiggaSherm We in this bitch Solid FIRST BLOCK FREEE US",  free squaddd bitch solid block freee,1.0,0.5228469,1
2319,"@user don't forget, @user - research shows that sexist men have psychological problems. #tuckercarlson ",dont forget research shows sexist men psychological problems,1.0,0.47591758,1
1935,@user  donkey #zionazis proud of murdering real palestinian semitic children - thats what i call #antisemtism ,donkey proud murdering real palestinian semitic children thats,1.0,0.76752234,1
5488,"Jamaica populated with island hillbillies. Even linguistics are kind of the same, if you sub the accent. Olde English derivatives.",jamaica populated island hillbillies linguistics kind sub accent olde english derivatives,0.0,0.4255629,0
5236,Golden Oreos are the best,golden oreos best,0.0,0.20497179,0
2408,"""these are times of grave danger,with dissent recast as treason,  unchained and intolerance on the march""&amp;itâ¦ ",times grave dangerwith dissent recast treason unchained intolerance march it,1.0,0.4234264,0
5225,"Get here! MT @NevadaPR: #Sierra #skiers, @VirginiaCity offers a fun break from the slopes. Sweet #deal: http://t.co/otJ5Uxqbna
#TravelNevada",mt offers fun break slopes sweet  tcootj5uxqbna,0.0,0.08068201,0
6605,Some are oval and some are pink some are blue and some are just yellow,oval pink blue yellow,0.0,0.31659162,0
3241,"&#128514;&#128514;&#128514; RT &#8220;@TuneLuciano: this hoe just DM'd me sayin ""never give up in your dreams""...fuckin fortune cookie ass hoe, fuck out my DM's&#8221;",  hoe dmd sayin dreamsfuckin fo une cookie ass hoe fuck dms,1.0,0.4969256,1
2604,"""green book"" ""sundown towns"", #route66 guide a reminder of  that faced travellers under #us #segregation  ",green book sundown towns guide reminder faced travellers,1.0,0.098159455,0
1600,"#blackface, prostitutes, #hatespeech: a brief history of the #mummersparade behaving badly'  #xenophobia  ",prostitutes brief history behaving badly,1.0,0.36363828,0
5980,"RT @LeMarquand: Jihadi-In-Chief Hussein Urges restraint in Fighting Islamic Butchers&#8252;&#65039;Apparently, we SHOULD be nice to ISIS...we might hurt&#8230;",  jihadiinchief hussein urges restraint fighting islamic butchers nice isiswe hu ,0.0,0.5365341,1
6868,"You know you are in the ghetto when you see streets named Martin Luther King Jr &amp; LittleJohn. 
#halp",know ghetto streets named ma in luther king jr   littlejohn,0.0,0.2024331,0
2681,stop trying to find  where it isn't even happening! #airingofthegrievances ,stop trying find isnt happening,1.0,0.38077092,0
966,"trump calling on obama to resign over the orlando shootings? the boy has a point. 8 years and all he did was ""talk"" about change.  ",trump calling obama resign orlando shootings boy point 8 years talk change,0.0,0.46940747,1
438,  #fathersday to me n all fathers taking care of their kid n not to forget theâ¦ ,n fathers taking care kid n forget,0.0,0.5378397,1
4980,@wodaeeex3 it didnt open das y i asked cus i thought yu ate wat i had Pork chops yellow rice n beans,didnt open das asked cus thought yu ate wat pork chops yellow rice n beans,0.0,0.26001987,0
4997,A yellow jacket landed on my mouth and stung me while I was cutting grass..safe to say he won &#128029; http://t.co/caYUcS8O01,yellow jacket landed mouth stung cutting grasssafe  tcocayucs8o01,0.0,0.22702411,0
1375,"@user dana middle and silvergate elementary had no ceremony for old glory here in san diego, ca military town today.   #maga",dana middle silvergate elementary ceremony old glory san diego military town today,0.0,0.09768129,0
4376,2 #iubb games when im in #bloomington #btown how good is that?! #ncaa #basketball #college #Indiana #iu #hoosiers,2 games im good,0.0,0.36932212,0
3796,RT @RakwonOGOD: Lmaoo bitch what? http://t.co/2dhLgXcVg2,  lmaoo bitch  tco2dhlgxcvg2,1.0,0.466559,1
5562,"Man, that is a serious shiner Chara's sporting. Yowza.",man shiner charas spo ing yowza,0.0,0.325409,0
2577,#intrumpsamerica extending your hand &amp; uniting merica is unprecedented!  #rapist #egomaniac @user ,extending hand   uniting merica unprecedented,1.0,0.39962012,0
4275,&#8220;@GianneNichole: Lakers really trash.&#8221;&#128686;,lakers trash,0.0,0.31039846,0
2317,#presidenttrump hopefully you will stop funding the  #apaheid #terrorist illegal state of #israel and have them pay back $38billion,hopefully stop funding illegal state pay 38billion,1.0,0.39754343,0
2806,"if krakow is so beautiful then go &amp; stay there, &amp; let us build our #love &amp; #peace here uk. i have east european  #relatives.  @user",krakow beautiful   stay   let build   uk east european,1.0,0.233628,0
6857,Yasss brownies &amp; ice cream &#128523; http://t.co/8qLa3JsglG,yasss brownies   ice cream  tco8qla3jsglg,0.0,0.09660425,0
812,i am thankful for a. #thankful #positive     ,thankful,0.0,0.3913605,0
1145, @user wohooo !! pachhyyy ððððððð congratulations ðððâ¤ ,wohooo pachhyyy congratulations,0.0,0.2592675,0
1868,@user #thanks to all those  #dead #white #dudes from #europe.  ain't a #nigga in da #list. blm #rapechucktoddâ¦ ,aint da blm,1.0,0.5055853,1
2125,"@user disgusting racist thugs, look forward to him going back to jail ",disgusting racist thugs look forward going jail,1.0,0.49287105,1
1176,a much needed sho escape. thank youuu my safety nets @user conipra91 ð   #recharged  â¦ ,needed sho escape thank youuu safety nets conipra91,0.0,0.14565884,0
1322,@user @user open to the public on two hours! #bargain   ,open public hours,0.0,0.17302352,0
3665,Pull up on my ex make that bitch mad,pull ex bitch mad,1.0,0.718757,1
2349,thought factory: left-right polarisation! #trump #uselections2016 #leadership #politics  #brexit #blm +12 ,thought factory leftright polarisation 12,1.0,0.55405337,1
6839,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb",monkey gorilla theyre hairy choose monkey  tcoh2rqf5oqwb,0.0,0.28618857,0
2707,"@user #allahsoil most deaths caused by islamic extremism occur in civil wars, not terror attacks.  ",deaths caused islamic extremism occur civil wars terror attacks,1.0,0.5827847,1
997, @user who gets to be   and why? (via @user @user  #emotion #anger #society,gets,0.0,0.49153286,1
3183,"Seattle Mayoral Election this year. A choice between a bunch of women, non-whites, and faggots/fag lovers.
http://t.co/rwhgMRLaZX",seattle mayoral election year choice bunch women nonwhites faggotsfag lovers tcorwhgmrlazx,1.0,0.30410153,0
3389,@espinosa_32 pussy pussy pussy,pussy pussy pussy,1.0,0.60383,1
3505,Fuck that bitch,fuck bitch,1.0,0.7903503,1
2894,. . #climatechange denial. #fascism. #antiegalitarianism. #narcissism. #trump. ,denial,1.0,0.50447214,1
1616,"#chepstow, #gwent : police appeal following 2 alleged  assaults  #wales #cymru",police appeal following 2 alleged assaults,1.0,0.34174895,0
5287,Homework and boonies date with Caitlin tonight&gt;&gt;,homework boonies date caitlin tonightgtgt,0.0,0.16644987,0
6209,"RT @VandTRailroad: #DidYouKnow: The Comstock Lode was a boon 4 @VirginiaCity as it grew 2 20,000 ppl &amp; became 1 of the largest &amp; wealthiest&#8230;",  comstock lode boon 4 grew 2 20000 ppl   1 largest   wealthiest,0.0,0.24822143,0
2035,@user @user hitler called... ,hitler called,1.0,0.57237643,1
178,@user when you don't know don't misinform belmont park is bigger than flemington not tight have you been there?did you watch? ,dont know dont misinform belmont park bigger flemington tight theredid watch,0.0,0.29018694,0
4373,"10 RT @ParadoxicalMike 1.5 RT @iDavey On average, 2. But I can be an 8 when need be. ""@SinsOfMyFather_ On a scale of 1-10 how ghetto are u?""",10   15   average 2 8 need scale 110 ghetto u,0.0,0.42131004,0
3514,"Girl like 19 pics of mine on Instagram this morning while I was working, when I saw that I thought ""this bitch need a life""",girl like 19 pics instagram morning working saw thought bitch need life,1.0,0.3789721,0
6996,versace bird feeder,versace bird feeder,0.0,0.09879691,0
6001,RT @Manstagram_: When I make the paper ball into the trash can http://t.co/m90W9N1zbT,  paper ball trash  tcom90w9n1zbt,0.0,0.20380473,0
1010,finally got a fish in the tank #saltwateank #angelfish   #lovemylittlefish #nottingham ,finally got fish tank,0.0,0.17683442,0
2674,#trump ally carl #paladino slammed for ' wish list for #obamas - nbc news ,ally carl slammed wish list nbc news,1.0,0.297709,0
536,@user singing makes me   ð¶ðð,singing makes,0.0,0.4418252,0
3617,Let them hoes be greatRT @keyawnagallatin: Y'all bitches be really reaching for the side-titty look,let hoes great  yall bitches reaching sidetitty look,1.0,0.6431443,1
80,safe ways to heal your #acne!!    #altwaystoheal #healthy   #healing!! ,safe ways heal,0.0,0.43298605,0
1372,cont. so that was father's day almost a disaster. hermes are a useless courier. #asos   #useless (pa 2),cont fathers day disaster hermes useless courier pa 2,0.0,0.11224863,0
5745,RT @AnnTelnaes: Halloween candy corn bird http://t.co/kTNbyuTYKw,  halloween candy corn bird  tcoktnbyutykw,0.0,0.19102404,0
3412,@seductiveally @sunstylesshinex oh now your bitch ass wants to reply back after 3 days bitch bye,oh bitch ass wants reply 3 days bitch bye,1.0,0.39549625,0
5073,Can someone get me cheese and crackers,cheese crackers,0.0,0.13647318,0
6512,RT @tolkienproverb: Fairy tale does not deny the existence of sorrow and failure...,  fairy tale deny existence sorrow failure,0.0,0.3255972,0
231,lovely day to be sitting outside college enjoying the sun. so that is what i'm doing.   #sunshine #spring,lovely day sitting outside college enjoying sun im,0.0,0.06446199,0
4819,@ebomb26 cool beaners.,cool beaners,0.0,0.27590498,0
753,missing my favorite show #datemyfamily no electricity  ,missing favorite electricity,0.0,0.48337597,1
1278, place was all sos of  this afternoon. i'm totally blessed to be in the company of such gorgeous... ,place sos afternoon im totally blessed company gorgeous,0.0,0.1237015,0
1903,@user you might be a libtard if... #libtard  #sjw #liberal #politics ,libtard,1.0,0.46258232,1
5725,RT @AbortionFunds: Grateful for the profound hospitality of volunteers who open their homes to patients traveling long distances for abo ...,  grateful profound hospitality volunteers open homes patients traveling long distances abo,0.0,0.120614834,0
3530,"Hello, and to them bitches!!!!! ""@WitHaPrettyface: I just want him to keep them lies to his self..&#128524;&#128080;""",hello bitches want lies self,1.0,0.80753416,1
3753,RT @KINGTUNCHI_: In 5 years these hoes ain't gone be shit but a Dick head!,  5 years hoes aint gone shit dick head,1.0,0.6467376,1
6252,RT @ZekeJMiller: RT @bobschieffer: Looking forward to sitting down with President Obama for our 60th anniversary broadcast this Sunday &#8212; ho&#8230;,    looking forward sitting president obama 60th anniversary broadcast sunday ho,0.0,0.17898145,0
6093,RT @RudeBoi_Drew: @PAPER_CHAYSIN condom were invent for that sole purpose,  condom invent sole purpose,0.0,0.42145085,0
6793,Weed brownies &gt;&gt;&gt;&gt; &#128553;&#128079;,weed brownies gtgtgtgt,0.0,0.18303335,0
1262,appletstag #me #selfie   #smile #follow #love #cute #like4like #instalike #likeforlikeâ¦ ,appletstag,0.0,0.41239405,0
6800,What a trash franchise. RT @ArashMarkazi: Fergie will sing the National Anthem at the Clippers season opener tomorrow.,trash franchise   fergie sing national anthem clippers season opener tomorrow,0.0,0.23368394,0
3843,"RT @__PrettyBlaack: If a bitch think I'm worried about her , that bitch overthinking &#128557;&#128514;&#128581;&#128129;&#128582;&#8252;&#65039;",  bitch think im worried bitch ove hinking,1.0,0.6978535,1
5353,I learnt about birds as a child. Best time to learn @BBCRadio2,learnt birds child best time learn,0.0,0.21550183,0
2070,now ask yourself if you really want to follow @user  i'm done.  ,ask want follow im,1.0,0.6064397,1
5360,"I love ""Butter"" by ATCQ, but I'd love it more if Q-Tip's hook was just looped for three and a half minutes instead of Phife's trash verses.",love butter atcq id love qtips hook looped half minutes instead phifes trash verses,0.0,0.36286205,0
2261,"when a #facemask can run you the risk of looking unintentionally .  :/ @ moredun, edinburgh ",run risk looking unintentionally moredun edinburgh,1.0,0.25195727,0
6220,"RT @WayneDupreeShow: Fear mongering by the left is dying. Wake up, who are you going 2 believe Charlie Rangel and Hussein or Mia Love and C&#8230;",  fear mongering left dying wake going 2 believe charlie rangel hussein mia love c,0.0,0.30992907,0
382,"to all the wonderful dads out there, but especially to mine. happy father's day.   â¦ ",wonderful dads especially happy fathers day,0.0,0.12049162,0
4412,@Ants_SNEweather Well you got to see pom-pom Pete,got pompom pete,0.0,0.6217331,1
5976,"RT @LVL_KY_Events: Nov 22,2012: Thanksgiving Dinner: 2:00pm: Proof on Main. A day being preoccupied with a giant bird in your... http:// ...",  nov 222012 thanksgiving dinner 200pm proof main day preoccupied giant bird  ,0.0,0.037496578,0
2647,@user again @user looks like a damned fool! for 50 years the usa has openly opposed settlement buliding by #israel! @user,looks like damned fool 50 years usa openly opposed settlement buliding,1.0,0.5713038,1
2579,@user your comments are reflections of ignorance and  @user @user @user,comments reflections ignorance,1.0,0.5393046,1
2856,trump campaign official wants michelle obama to be âlet looseâ to live with african apes  #notmypresident ,trump c aign official wants michelle obama let loose live african apes,1.0,0.5224877,1
1759,are you #black &amp; feel like â¦ are stomping on you? listen  #retweet #tampa #miamiâ¦ ,  feel like stomping listen,1.0,0.49764773,1
5783,RT @BoatBuilder_: call me a free bird,  free bird,0.0,0.29102707,0
2943,you might be a libtard if... #libtard  #sjw #liberal #politics ,libtard,1.0,0.46258232,1
497,@user of course you will ! :d how's our trip to #brno hear that you are close to brno! #rummors  ,course hows trip hear close brno,0.0,0.47594333,1
218,happy weekend to all the   people# mc justorich/rapkiddo cares. ,happy weekend people mc justorichrapkiddo cares,0.0,0.22682899,0
1790,@user nick cannon speaks out against the systemic  of @user  via @user #alllivesmatter #unboâ¦,nick cannon speaks systemic,1.0,0.3435872,0
1058,"if you always do what interests you, at least one person is pleased. âkatharine hepburn #quote #truth  ",interests person pleased katharine hepburn,0.0,0.28968105,0
5325,I got my eyes on this red bone,got eyes red bone,0.0,0.5391497,1
2830,#hillaryclinton calls me   #homophobic #misogynist she really means she is jealous @user  whâ¦ ,calls means jealous wh,1.0,0.5216206,1
5021,And where do you think unsold items from thrift stores go? The garbage. Think of all the great games that are in trash dumps as we speak :(,think unsold items thrift stores garbage think great games trash dumps speak,0.0,0.34880465,0
6077,RT @ProudlyLiberal2: Charlie Crist wins Democratic primary http://t.co/FunqXo8O4O,  charlie crist wins democratic primary  tcofunqxo8o4o,0.0,0.16662152,0
938,big day for us tomorrow  @user ð¡ð ð¶ð«#onestepcloser   #littlefamily,big day tomorrow,0.0,0.14405087,0
1761,@user how liberal #democrats institutionalized white supremacy   #uniteblue #tcot #maga #naacp #racisâ¦,liberal institutionalized white supremacy,1.0,0.63971823,1
4424,@BlakeAnderson21 @jo_clark6 chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after,chicken fried steak boys mash potatoes gravy green beans corn ice cream brownies,0.0,0.11149774,0
3936,"RT @thatsryann: If you think your mans cheating, you take him to that bitches house and see if his wifi connects&#128074;",  think mans cheating bitches house wifi connects,1.0,0.37411016,0
474,looking forward to seeing @user #miracle tonight at @user   â£ï¸â¤ï¸ð,looking forward seeing tonight,0.0,0.25462183,0
3132,Only Americans would hire white trash with ties to international terrorism as police officers.,americans hire white trash ties international terrorism police officers,1.0,0.5648257,1
764,"you will not be punished for your anger, you will be punished by your anger. #friendswithbenefits #life   #world #bloggers",punished anger punished anger,0.0,0.7018508,1
6322,"RT @daraobriain: Tommy Voeckler keeps the yellow, Andy Schleck does the break of the tour, and Contador is broken. Incredible day for #tdf",  tommy voeckler keeps yellow andy schleck break tour contador broken incredible day,0.0,0.0751766,0
6606,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses.",black people live entirely different world peaches cream apparently rose colored glasses,0.0,0.3654582,0
2023,"@user @user @user @user @user ""most boys can use a drill..."" really?  :-)",boys use drill,1.0,0.16968663,0
1426,i am thankful for palm trees. #thankful #positive     ,thankful palm trees,0.0,0.045708667,0
2935,@user #realitycheck: #policing in #america from a cop  #audiblechannels #policebrutality   #socialjusâ¦,cop,1.0,0.40611622,0
6207,RT @Vaeflare: ...Because sometimes you just need a moment to appreciate a noble guinea pig with steampunk dragon wings. http://t.co/SeRyx9v&#8230;,  need moment appreciate noble guinea pig ste unk dragon wings  tcoseryx9v,0.0,0.14020053,0
